"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 06- 17","112.72","112.72","112.72","112.72","","-2.27%"
"2022- 06- 16","115.34","115.34","115.34","115.34","","0.87%"
"2022- 06- 15","114.35","114.35","114.35","114.35","","-1.17%"
"2022- 06- 14","115.71","115.71","115.71","115.71","","-0.80%"
"2022- 06- 13","116.64","116.64","116.64","116.64","","-0.03%"
"2022- 06- 10","116.67","116.67","116.67","116.67","","-0.36%"
"2022- 06- 09","117.09","117.09","117.09","117.09","","-0.35%"
"2022- 06- 08","117.50","117.50","117.50","117.50","","1.92%"
"2022- 06- 07","115.29","115.29","115.29","115.29","","1.12%"
"2022- 06- 06","114.01","114.01","114.01","114.01","","0.16%"
"2022- 06- 03","113.83","113.83","113.83","113.83","","1.62%"
"2022- 06- 02","112.02","112.02","112.02","112.02","","1.01%"
"2022- 06- 01","110.91","110.91","110.91","110.91","","2.57%"
"2022- 05- 31","108.13","108.13","108.13","108.13","","0.35%"
"2022- 05- 27","107.75","107.75","107.75","107.75","","0.11%"
"2022- 05- 26","107.64","107.64","107.64","107.64","","0.44%"
"2022- 05- 25","107.17","107.17","107.17","107.17","","0.00%"
"2022- 05- 24","107.17","107.17","107.17","107.17","","-0.14%"
"2022- 05- 23","107.32","107.32","107.32","107.32","","0.10%"
"2022- 05- 20","107.21","107.21","107.21","107.21","","0.21%"
"2022- 05- 19","106.99","106.99","106.99","106.99","","1.38%"
"2022- 05- 18","105.53","105.53","105.53","105.53","","-1.26%"
"2022- 05- 17","106.88","106.88","106.88","106.88","","-1.40%"
"2022- 05- 16","108.40","108.40","108.40","108.40","","1.09%"
"2022- 05- 13","107.23","107.23","107.23","107.23","","2.45%"
"2022- 05- 12","104.66","104.66","104.66","104.66","","0.10%"
"2022- 05- 11","104.56","104.56","104.56","104.56","","4.12%"
"2022- 05- 10","100.43","100.43","100.43","100.43","","-2.30%"
"2022- 05- 09","102.79","102.79","102.79","102.79","","-4.44%"
"2022- 05- 06","107.57","107.57","107.57","107.57","","1.10%"
"2022- 05- 05","106.40","106.40","106.40","106.40","","0.41%"
"2022- 05- 04","105.97","105.97","105.97","105.97","","2.50%"
"2022- 05- 03","103.39","103.39","103.39","103.39","","-0.45%"
"2022- 05- 02","103.86","103.86","103.86","103.86","","1.04%"
"2022- 04- 29","102.79","102.79","102.79","102.79","","0.02%"
"2022- 04- 28","102.76","102.76","102.76","102.76","","0.07%"
"2022- 04- 27","102.69","102.69","102.69","102.69","","0.00%"
"2022- 04- 26","102.69","102.69","102.69","102.69","","0.39%"
"2022- 04- 25","102.30","102.30","102.30","102.30","","-1.09%"
"2022- 04- 22","103.43","103.43","103.43","103.43","","-0.40%"
"2022- 04- 21","103.85","103.85","103.85","103.85","","0.71%"
"2022- 04- 20","103.12","103.12","103.12","103.12","","0.02%"
"2022- 04- 19","103.09","103.09","103.09","103.09","","-2.22%"
"2022- 04- 18","105.44","105.44","105.44","105.44","","0.59%"
"2022- 04- 14","104.82","104.82","104.82","104.82","","1.08%"
"2022- 04- 13","103.70","103.70","103.70","103.70","","2.18%"
"2022- 04- 12","101.49","101.49","101.49","101.49","","4.61%"
"2022- 04- 11","97.02","97.02","97.02","97.02","","-2.71%"
"2022- 04- 08","99.72","99.72","99.72","99.72","","1.31%"
"2022- 04- 07","98.42","98.42","98.42","98.42","","-0.39%"
"2022- 04- 06","98.81","98.81","98.81","98.81","","-4.32%"
"2022- 04- 05","103.27","103.27","103.27","103.27","","-1.43%"
"2022- 04- 04","104.77","104.77","104.77","104.77","","2.86%"
"2022- 04- 01","101.85","101.85","101.85","101.85","","-8.15%"
"2022- 03- 31","110.89","110.89","110.89","110.89","","0.00%"
"2022- 03- 30","110.89","110.89","110.89","110.89","","0.31%"
"2022- 03- 29","110.55","110.55","110.55","110.55","","-0.26%"
"2022- 03- 28","110.84","110.84","110.84","110.84","","-1.12%"
"2022- 03- 25","112.10","112.10","112.10","112.10","","0.25%"
"2022- 03- 24","111.82","111.82","111.82","111.82","","-0.68%"
"2022- 03- 23","112.59","112.59","112.59","112.59","","1.04%"
"2022- 03- 22","111.43","111.43","111.43","111.43","","-0.27%"
"2022- 03- 21","111.73","111.73","111.73","111.73","","2.52%"
"2022- 03- 18","108.99","108.99","108.99","108.99","","0.19%"
"2022- 03- 17","108.78","108.78","108.78","108.78","","3.71%"
"2022- 03- 16","104.89","104.89","104.89","104.89","","-0.83%"
"2022- 03- 15","105.76","105.76","105.76","105.76","","-3.13%"
"2022- 03- 14","109.18","109.18","109.18","109.18","","-3.03%"
"2022- 03- 11","112.59","112.59","112.59","112.59","","2.17%"
"2022- 03- 10","110.20","110.20","110.20","110.20","","-0.59%"
"2022- 03- 09","110.86","110.86","110.86","110.86","","-9.53%"
"2022- 03- 08","122.53","122.53","122.53","122.53","","3.68%"
