두바이_유가,전력_가격,환율
92.6,243.0,1351.4
92.6,234.0,1351.4
92.6,203.0,1351.4
92.6,225.0,1356.5
93.13,245.0,1369.7
89.36,221.0,1370.3
90.17,241.0,1385.3
92.78,216.0,1385.3
92.78,132.0,1385.3
92.78,170.0,1385.3
93.36,212.0,1385.3
92.51,223.0,1381.2
93.35,241.0,1374.8
91.98,241.0,1391.7
92.26,253.0,1394.2
92.26,249.0,1394.2
92.26,218.0,1394.2
92.46,243.0,1394.2
91.9,246.0,1390.1
91.81,252.0,1389.1
92.18,244.0,1393.6
91.02,244.0,1408.0
91.02,244.0,1408.0
91.02,244.0,1408.0
90.5,240.0,1408.4
90.72,231.0,1429.7
90.9,238.0,1427.2
90.81,241.0,1436.5
90.91,232.0,1434.8
90.91,240.0,1434.8
90.91,221.0,1434.8
88.03,230.0,1434.8
90.9,262.0,1432.1
92.12,251.0,1431.2
92.98,266.0,1419.1
95.8,262.0,1404.2
95.8,243.0,1404.2
95.8,209.0,1404.2
94.42,230.0,1404.2
92.93,267.0,1410.3
91.58,255.0,1433.5
92.42,269.0,1430.4
90.79,256.0,1427.0
90.79,251.0,1427.0
90.79,224.0,1427.0
90.71,241.0,1428.9
89.92,265.0,1436.6
90.53,267.0,1425.6
90.54,267.0,1420.6
90.95,265.0,1431.7
90.95,259.0,1431.7
90.95,241.0,1431.7
90.88,243.0,1436.6
90.84,254.0,1436.6
91.16,265.0,1436.5
91.27,266.0,1428.2
91.11,253.0,1418.1
91.11,242.0,1418.1
91.11,229.0,1418.1
91.13,244.0,1419.3
91.22,255.0,1422.2
91.22,255.0,1421.7
